date,open,high,low,close,volume
2025-01-14,2794.5,2794.5,2794.5,2794.5,0.0
2025-01-15,2829.5,2829.5,2829.5,2829.5,0.0
2025-01-16,2859.5,2863.0,2859.5,2863.0,1.0
2025-01-17,2859.75,2867.25,2856.0,2861.5,14.0
2025-01-21,2861.5,2874.5,2861.5,2869.75,14.0
2025-01-22,2880.25,2883.0,2878.5,2878.5,7.0
2025-01-23,2863.5,2879.5,2860.75,2875.5,11.0
2025-01-24,2898.5,2908.75,2892.0,2894.75,111.0
2025-01-27,2868.5,2868.5,2851.25,2855.25,42.0
2025-01-28,2874.75,2887.75,2872.0,2886.0,34.0
2025-01-29,2886.5,2888.5,2874.25,2883.5,67.0
2025-01-30,2915.75,2940.75,2914.0,2940.75,569.0
2025-01-31,2940.5,2950.25,2914.5,2920.25,957.0
2025-02-03,2945.0,2961.0,2934.75,2938.5,1490.0
2025-02-04,2955.75,2969.75,2949.5,2969.75,1126.0
2025-02-05,2980.0,2996.0,2970.25,2975.0,1742.0
2025-02-06,2970.0,2971.5,2945.75,2970.5,1174.0
2025-02-07,2988.25,3001.0,2968.5,2978.0,2401.0
2025-02-10,3021.25,3029.5,3016.25,3028.0,1189.0
2025-02-11,3021.25,3027.25,3007.0,3018.0,1189.0
2025-02-12,3012.0,3026.5,3004.0,3019.5,1279.0
2025-02-13,3030.0,3051.0,3030.0,3050.5,795.0
2025-02-14,3037.5,3037.5,2980.0,2984.75,3262.0
2025-02-18,3030.25,3048.0,3030.25,3047.25,1205.0
2025-02-19,3042.5,3049.25,3024.75,3041.5,2655.0
2025-02-20,3038.0,3056.25,3022.25,3043.75,3131.0
2025-02-21,3040.5,3052.0,3027.0,3044.5,3319.0
2025-02-24,3049.0,3061.5,3038.0,3061.5,1300.0
2025-02-25,3049.5,3051.75,2988.5,3018.75,3537.0
2025-02-26,2997.75,3025.25,2994.25,3023.25,4406.0
2025-02-27,2993.0,2994.0,2969.25,2978.0,2484.0
2025-02-28,2946.5,2958.5,2933.0,2957.5,3045.0
2025-03-03,2977.25,2997.0,2974.5,2994.5,967.0
2025-03-04,3020.25,3022.25,3002.25,3018.5,1507.0
2025-03-05,3006.75,3032.5,3006.25,3019.0,1452.0
2025-03-06,3007.5,3022.5,3006.75,3010.0,628.0
2025-03-07,3016.25,3029.75,3001.0,3012.25,781.0
2025-03-10,2996.5,3007.75,2974.0,2974.0,609.0
2025-03-11,3011.0,3020.25,3008.5,3013.75,687.0
2025-03-12,3008.0,3040.25,3006.0,3035.0,1876.0
2025-03-13,3047.25,3094.5,3047.25,3094.5,2347.0
2025-03-14,3099.75,3099.75,3082.25,3086.75,1158.0
2025-03-17,3091.5,3109.0,3087.0,3109.0,1609.0
2025-03-18,3139.75,3142.25,3126.25,3134.75,1984.0
2025-03-19,3135.25,3168.0,3128.0,3163.75,1378.0
2025-03-20,3133.25,3156.75,3124.25,3149.0,771.0
2025-03-21,3137.5,3137.5,3111.5,3125.75,121.0
2025-03-24,3136.0,3136.0,3114.25,3121.25,51.0
2025-03-25,3137.0,3148.5,3129.75,3131.75,61.0
2025-03-26,3137.25,3137.25,3110.0,3129.75,256.0
2025-03-27,3158.25,3187.25,3149.5,3169.25,507.0
2025-03-28,3191.0,3200.5,3180.25,3193.25,1669.0
2025-03-31,3230.25,3241.0,3212.0,3230.0,1732.0
2025-04-01,3240.25,3247.5,3210.0,3225.75,667.0
2025-04-02,3243.75,3312.0,3228.75,3246.5,1054.0
2025-04-03,3169.25,3238.5,3164.0,3201.0,1101.0
2025-04-04,3173.5,3178.25,3109.5,3112.5,2071.0
2025-04-07,3120.0,3133.25,3046.5,3049.0,1549.0
2025-04-08,3108.25,3109.5,3060.75,3066.0,1746.0
2025-04-09,3156.5,3194.0,3140.75,3157.5,3718.0
2025-04-10,3228.25,3281.0,3213.75,3258.0,1666.0
2025-04-11,3335.5,3350.0,3320.75,3326.75,747.0
2025-04-14,3300.75,3314.0,3293.25,3308.0,491.0
2025-04-15,3322.25,3341.5,3310.25,3322.75,232.0
2025-04-16,3403.25,3491.75,3397.5,3431.25,758.0
2025-04-17,3418.0,3428.75,3381.5,3413.0,830.0
2025-04-21,3518.0,3528.5,3504.25,3512.0,1008.0
2025-04-22,3542.5,3542.5,3465.75,3506.25,2977.0
2025-04-23,3395.0,3401.5,3354.5,3377.5,1244.0
2025-04-24,3429.5,3445.5,3402.25,3433.5,863.0
2025-04-25,3361.0,3413.5,3357.5,3382.0,445.0
2025-04-28,3394.75,3448.25,3381.25,3432.5,675.0
2025-04-29,3411.25,3424.75,3394.0,3418.0,220.0
2025-04-30,3400.75,3418.75,3360.0,3403.25,929.0
2025-05-01,3314.25,3329.5,3294.25,3304.0,948.0
2025-05-02,3344.5,3355.75,3312.0,3325.5,743.0
2025-05-05,3407.75,3430.25,3398.75,3406.5,635.0
2025-05-06,3487.5,3527.25,3472.5,3509.5,1225.0
2025-05-07,3481.75,3491.75,3458.25,3478.0,1858.0
2025-05-08,3450.25,3460.5,3378.75,3389.75,1069.0
2025-05-09,3425.0,3437.75,3405.25,3428.75,741.0
2025-05-12,3323.25,3334.5,3306.75,3309.75,267.0
2025-05-13,3329.5,3350.0,3307.75,3330.0,177.0
2025-05-14,3267.75,3282.5,3252.75,3269.0,603.0
2025-05-15,3276.25,3331.0,3271.25,3308.25,847.0
2025-05-16,3259.0,3295.25,3250.25,3268.0,538.0
2025-05-19,3310.25,3325.25,3301.25,3315.5,345.0
2025-05-20,3322.5,3381.5,3322.5,3367.75,1946.0
2025-05-21,3391.5,3414.5,3381.0,3397.5,452.0
2025-05-22,3379.0,3379.0,3379.0,3379.0,0.0
2025-05-23,3450.75,3450.75,3450.75,3450.75,0.0
2025-05-27,3385.0,3385.0,3385.0,3385.0,0.0
2025-05-28,3380.5,3381.5,3378.0,3378.0,3.0
2025-05-29,3398.5,3398.5,3398.5,3398.5,0.0
2025-05-30,3369.5,3369.5,3369.5,3369.5,0.0
2025-06-02,3455.0,3461.0,3452.5,3452.5,2.0
2025-06-03,3433.0,3433.0,3433.0,3433.0,0.0
2025-06-04,3455.5,3455.5,3455.5,3455.5,0.0
2025-06-05,3458.5,3458.5,3430.75,3430.75,1.0
2025-06-06,3400.0,3402.75,3395.0,3402.75,4.0
2025-06-09,3410.5,3410.5,3410.5,3410.5,0.0
2025-06-10,3400.25,3400.25,3399.5,3399.5,1.0
2025-06-11,3420.0,3420.0,3399.5,3399.5,1.0
2025-06-12,3471.5,3471.5,3457.5,3457.5,5.0
2025-06-13,3499.5,3513.5,3499.5,3508.5,6.0
2025-06-16,3470.25,3474.5,3468.5,3473.0,17.0
2025-06-17,3447.25,3462.5,3447.25,3462.5,1.0
2025-06-18,3461.25,3463.5,3461.25,3463.5,1.0
2025-06-20,3441.0,3441.0,3441.0,3441.0,0.0
2025-06-23,3451.25,3451.25,3450.25,3450.25,1.0
2025-06-24,3375.0,3389.0,3370.0,3389.0,2.0
2025-06-25,3395.5,3398.5,3395.5,3398.5,3.0
2025-06-26,3384.75,3405.5,3378.0,3403.5,198.0
2025-06-27,3324.0,3348.25,3324.0,3342.75,144.0
2025-06-30,3350.0,3382.5,3343.75,3363.0,251.0
2025-07-01,3413.25,3423.25,3400.0,3405.0,218.0
2025-07-02,3409.0,3426.5,3400.5,3415.25,192.0
2025-07-03,3399.75,3404.0,3389.25,3398.75,154.0
2025-07-07,3377.5,3406.25,3372.0,3400.0,330.0
2025-07-08,3390.0,3390.0,3351.5,3367.5,282.0
2025-07-09,3370.0,3379.0,3370.0,3379.0,14.0
2025-07-10,3381.0,3384.0,3380.25,3380.5,22.0
2025-07-11,3419.0,3432.5,3419.0,3426.25,45.0
2025-07-14,3412.0,3413.5,3408.0,3408.0,17.0
2025-07-15,3400.25,3414.75,3392.25,3394.75,8.0
2025-07-16,3393.0,3439.75,3386.0,3414.25,71.0
2025-07-17,3376.5,3402.25,3376.5,3402.25,13.0
2025-07-18,3418.0,3421.25,3410.0,3410.0,13.0
2025-07-21,3455.0,3472.75,3455.0,3465.75,85.0
2025-07-22,3485.0,3506.0,3478.75,3506.0,187.0
2025-07-23,3476.25,3487.5,3449.25,3459.0,229.0
2025-07-24,3416.5,3437.5,3416.5,3426.5,149.0
2025-07-25,3403.0,3405.75,3383.5,3397.75,274.0
2025-07-28,3385.5,3385.5,3357.5,3376.0,1227.0
2025-07-29,3374.0,3388.25,3367.75,3384.25,2866.0
2025-07-30,3358.75,3362.25,3319.5,3330.0,2763.0
2025-07-31,3360.25,3361.75,3342.0,3342.25,2793.0
2025-08-01,3403.0,3417.25,3377.75,3417.25,7563.0
2025-08-04,3429.5,3440.0,3424.25,3431.0,5779.0
2025-08-05,3425.5,3445.0,3425.5,3442.0,5120.0
2025-08-06,3424.5,3438.0,3420.25,3427.25,4878.0
2025-08-07,3459.75,3480.5,3436.0,3472.75,5170.0
2025-08-08,3483.0,3499.0,3443.5,3454.75,7476.0
2025-08-11,3407.75,3418.75,3388.75,3394.25,7022.0
2025-08-12,3397.75,3410.75,3379.0,3395.5,7117.0
2025-08-13,3407.25,3422.25,3400.25,3407.0,4588.0
2025-08-14,3394.25,3398.75,3376.0,3383.25,5384.0
2025-08-15,3383.5,3391.5,3366.0,3381.0,4097.0
2025-08-18,3389.0,3389.5,3375.25,3379.25,12188.0
2025-08-19,3376.75,3383.75,3357.75,3359.25,5836.0
2025-08-20,3384.75,3393.5,3382.5,3391.0,3994.0
2025-08-21,3388.5,3392.0,3371.25,3383.5,3439.0
2025-08-22,3371.75,3423.25,3371.0,3416.25,9510.0
2025-08-25,3409.5,3421.25,3409.25,3411.25,2521.0
2025-08-26,3421.0,3443.5,3417.75,3443.5,4665.0
2025-08-27,3430.5,3452.5,3423.75,3448.5,6598.0
2025-08-28,3462.25,3478.75,3457.75,3478.0,6449.0
2025-08-29,3476.25,3518.75,3476.0,3516.25,13379.0
