date,open,high,low,close,volume
2024-01-09,143.02,143.2,142.93,143.12,883.0
2024-01-10,143.06,143.38,143.03,143.24,1901.0
2024-01-11,143.27,143.52,143.09,143.47,928.0
2024-01-12,143.49,143.63,143.3,143.6,1062.0
2024-01-13,143.6,143.8,143.55,143.8,306.0
2024-01-15,143.64,143.81,143.64,143.71,428.0
2024-01-16,143.73,143.74,143.38,143.39,714.0
2024-01-17,143.44,143.45,143.16,143.33,1224.0
2024-01-18,143.39,143.41,142.81,142.92,1159.0
2024-01-19,142.91,143.14,142.75,142.79,630.0
2024-01-20,142.75,142.85,142.75,142.83,196.0
2024-01-22,142.82,143.03,142.76,143.02,846.0
2024-01-23,143.05,143.29,142.57,142.63,2927.0
2024-01-24,142.64,142.76,142.06,142.34,1893.0
2024-01-25,142.42,142.42,142.02,142.03,1441.0
2024-01-26,142.06,142.58,142.02,142.52,1535.0
2024-01-27,142.53,142.6,142.36,142.36,238.0
2024-01-29,142.53,142.59,142.36,142.55,1084.0
2024-01-30,142.51,142.61,142.46,142.58,804.0
2024-01-31,142.6,142.6,142.1,142.43,3469.0
2024-02-01,142.42,142.84,142.34,142.79,2374.0
2024-02-02,142.81,143.1,142.74,143.0,877.0
2024-02-03,143.01,143.05,142.57,142.77,179.0
2024-02-05,142.63,142.66,142.39,142.47,1010.0
2024-02-06,142.39,142.54,142.14,142.43,924.0
2024-02-07,142.39,142.65,142.37,142.5,791.0
2024-02-08,142.5,142.73,142.27,142.6,1341.0
2024-02-09,142.63,142.67,142.34,142.35,758.0
2024-02-10,142.29,142.43,142.16,142.37,304.0
2024-02-12,142.62,142.62,142.25,142.27,165.0
2024-02-13,142.28,142.52,142.25,142.43,802.0
2024-02-14,142.43,142.53,141.91,142.08,1377.0
2024-02-15,142.11,142.55,142.06,142.46,1233.0
2024-02-16,142.5,142.63,142.25,142.34,1361.0
2024-02-17,142.38,142.43,142.2,142.33,204.0
2024-02-19,142.3,142.41,142.28,142.36,140.0
2024-02-20,142.38,142.45,142.23,142.36,392.0
2024-02-21,142.4,142.41,142.26,142.35,617.0
2024-02-22,142.34,142.55,142.22,142.33,540.0
2024-02-23,142.35,142.46,142.25,142.32,261.0
2024-02-24,142.34,142.4,142.27,142.39,43.0
2024-02-26,142.39,142.75,142.39,142.75,751.0
2024-02-27,142.7,142.73,142.43,142.63,2941.0
2024-02-28,142.61,142.63,142.46,142.59,1569.0
2024-02-29,142.57,142.69,142.19,142.38,1180.0
2024-03-01,142.38,142.5,142.28,142.48,1225.0
2024-03-02,142.47,142.7,142.41,142.49,596.0
2024-03-04,142.66,142.66,142.47,142.52,540.0
2024-03-05,142.53,142.69,142.38,142.59,1238.0
2024-03-06,142.62,142.76,142.41,142.45,2858.0
2024-03-07,142.42,142.55,142.24,142.3,8693.0
2024-03-08,142.28,142.47,142.16,142.45,4768.0
2024-03-09,142.27,142.38,142.14,142.16,2220.0
2024-03-11,142.25,142.38,142.15,142.28,1939.0
2024-03-12,142.29,142.49,142.15,142.3,2553.0
2024-03-13,142.28,142.36,142.15,142.26,2094.0
2024-03-14,142.23,142.26,141.96,142.03,1028.0
2024-03-15,142.05,142.08,141.71,142.0,1731.0
2024-03-16,142.03,142.03,141.87,141.88,346.0
2024-03-18,141.88,142.24,141.82,142.12,1974.0
2024-03-19,142.1,142.55,142.07,142.46,1536.0
2024-03-20,142.48,142.51,142.36,142.49,652.0
2024-03-21,142.46,142.7,142.17,142.31,2074.0
2024-03-22,142.29,142.34,142.11,142.3,1523.0
2024-03-23,142.32,142.44,142.29,142.38,275.0
2024-03-25,142.39,142.47,142.32,142.36,336.0
2024-03-26,142.34,142.38,142.19,142.33,538.0
2024-03-27,142.38,142.56,142.26,142.52,2489.0
2024-03-28,142.53,142.73,142.46,142.51,1865.0
2024-03-29,142.62,142.64,142.42,142.44,622.0
2024-03-30,142.47,142.49,142.45,142.45,23.0
2024-04-01,142.49,142.49,142.21,142.41,482.0
2024-04-02,142.49,142.49,142.13,142.24,849.0
2024-04-03,142.19,142.33,142.05,142.29,1972.0
2024-04-04,142.28,142.35,142.09,142.21,592.0
2024-04-05,142.22,142.36,142.05,142.17,789.0
2024-04-06,142.12,142.26,142.02,142.02,84.0
2024-04-08,141.97,142.13,141.97,142.01,561.0
2024-04-09,142.02,142.11,141.97,142.08,773.0
2024-04-10,142.03,142.09,141.91,141.98,2475.0
2024-04-11,142.0,142.02,141.15,141.15,1525.0
2024-04-12,141.19,141.47,141.17,141.27,1334.0
2024-04-13,141.3,141.48,141.28,141.41,352.0
2024-04-15,141.29,141.41,141.16,141.23,1243.0
2024-04-16,141.24,141.24,140.96,141.04,1259.0
2024-04-17,141.07,141.07,140.92,141.04,2732.0
2024-04-18,141.05,141.31,141.0,141.25,3396.0
2024-04-19,141.23,141.72,141.06,141.34,2418.0
2024-04-20,141.39,141.4,141.26,141.28,77.0
2024-04-22,141.25,141.25,140.99,140.99,1326.0
2024-04-23,140.93,141.12,140.93,140.99,788.0
2024-04-24,140.97,141.11,140.92,141.02,1552.0
2024-04-25,140.99,141.01,140.85,140.87,808.0
2024-04-26,140.84,141.22,140.45,141.19,3188.0
2024-04-27,141.13,141.28,141.1,141.13,309.0
2024-04-29,141.28,141.29,141.01,141.07,64.0
2024-04-30,141.04,141.4,141.04,141.31,1510.0
2024-05-01,141.32,141.32,141.07,141.14,1208.0
2024-05-02,141.12,141.43,141.07,141.17,1081.0
