date,open,high,low,close,volume
2024-01-15,99.71,100.02,99.58,99.84,152607.0
2024-01-16,99.68,100.11,99.48,99.69,183996.0
2024-01-17,98.92,99.15,97.77,98.1,296397.0
2024-01-18,98.02,98.65,97.9,98.48,194950.0
2024-01-19,98.67,99.01,98.18,98.59,185141.0
2024-01-22,98.79,99.22,98.61,98.97,122004.0
2024-01-23,98.62,98.72,97.97,98.16,223776.0
2024-01-24,98.26,98.53,97.58,97.89,229312.0
2024-01-25,97.85,98.36,97.34,98.15,189250.0
2024-01-26,98.39,98.55,97.93,98.11,136132.0
2024-01-29,98.47,99.08,98.33,98.79,136516.0
2024-01-30,99.28,99.32,98.56,98.65,216158.0
2024-01-31,99.24,99.9,98.89,99.74,272730.0
2024-02-01,99.67,100.39,99.31,100.27,254278.0
2024-02-02,99.8,99.97,98.55,98.69,216721.0
2024-02-05,98.27,98.34,97.48,97.52,201454.0
2024-02-06,98.04,98.56,97.75,98.47,208256.0
2024-02-07,98.52,98.52,97.99,98.35,186024.0
2024-02-08,98.17,98.43,97.51,97.66,157789.0
2024-02-09,97.35,98.01,97.22,97.27,158199.0
2024-02-12,97.62,97.82,97.35,97.45,120524.0
2024-02-13,97.25,97.72,96.59,96.79,207620.0
2024-02-14,97.45,97.88,97.16,97.57,242857.0
2024-02-15,98.06,98.36,97.59,97.71,195079.0
2024-02-16,97.44,97.53,96.83,97.15,160191.0
2024-02-19,97.06,97.22,96.94,97.08,96622.0
2024-02-20,97.17,97.85,97.16,97.68,196438.0
2024-02-21,97.56,97.77,97.12,97.34,168497.0
2024-02-22,97.12,97.66,96.7,97.38,211342.0
2024-02-23,97.25,97.94,96.88,97.72,165572.0
2024-02-26,97.93,98.19,97.3,97.52,152629.0
2024-02-27,97.53,97.92,97.0,97.16,77329.0
2024-02-28,97.13,97.29,97.12,97.22,1144.0
2024-02-29,97.49,97.84,96.5,97.75,323617.0
2024-03-01,97.49,98.09,97.09,97.98,222567.0
2024-03-04,97.77,98.09,97.57,97.69,153148.0
2024-03-05,98.02,99.07,97.99,98.95,262324.0
2024-03-06,98.82,99.15,98.34,98.92,234506.0
2024-03-07,98.85,99.54,98.64,98.99,200881.0
2024-03-08,99.32,99.69,98.89,99.21,171573.0
2024-03-11,99.45,99.65,99.03,99.27,156642.0
2024-03-12,99.5,100.03,99.35,99.46,319402.0
2024-03-13,99.68,99.74,98.72,98.84,267195.0
2024-03-14,98.62,99.01,97.94,98.09,220778.0
2024-03-15,97.89,98.07,97.71,97.98,166842.0
2024-03-18,98.06,98.25,97.85,98.07,152592.0
2024-03-19,98.04,98.58,98.04,98.39,228815.0
2024-03-20,98.63,98.96,98.52,98.72,140555.0
2024-03-21,98.92,99.57,98.67,98.99,264246.0
2024-03-22,99.23,99.71,99.07,99.48,191998.0
2024-03-25,99.45,99.68,98.82,98.95,193837.0
2024-03-26,99.01,99.47,98.93,99.13,201150.0
2024-03-27,99.31,99.59,99.07,99.42,177014.0
2024-03-28,99.24,99.7,99.14,99.6,252923.0
2024-04-02,98.68,98.98,97.86,98.05,284362.0
2024-04-03,98.16,98.51,97.82,98.1,228517.0
2024-04-04,98.46,99.03,98.3,98.72,259458.0
2024-04-05,98.79,98.81,97.97,98.12,186702.0
2024-04-08,97.87,98.03,97.62,97.94,173814.0
2024-04-09,98.0,98.62,98.0,98.54,238807.0
2024-04-10,98.51,98.76,97.33,97.56,256423.0
2024-04-11,97.18,97.31,96.49,96.77,276999.0
2024-04-12,97.19,97.89,96.89,97.59,215110.0
2024-04-15,97.18,97.18,96.38,96.53,261008.0
2024-04-16,96.35,96.48,95.7,95.96,250105.0
2024-04-17,95.85,96.5,95.68,96.22,258893.0
2024-04-18,96.63,96.87,96.21,96.42,203620.0
2024-04-19,96.61,96.72,96.12,96.48,203628.0
2024-04-22,96.47,96.95,96.38,96.93,187391.0
2024-04-23,96.7,96.93,96.23,96.48,261850.0
2024-04-24,96.27,96.34,95.45,95.66,293064.0
2024-04-25,95.66,95.9,95.03,95.39,235851.0
2024-04-26,95.46,96.0,95.37,95.75,197943.0
2024-04-29,95.81,96.24,95.74,96.16,188074.0
2024-04-30,95.98,96.17,95.4,95.45,241358.0
2024-05-01,95.28,95.63,95.09,95.32,137738.0
2024-05-02,95.72,96.2,95.68,96.02,208438.0
2024-05-03,96.21,97.1,96.1,96.63,226216.0
2024-05-07,97.18,97.74,97.15,97.66,216606.0
2024-05-08,97.51,97.72,97.37,97.61,246838.0
2024-05-09,97.46,97.69,97.17,97.51,231640.0
2024-05-10,97.66,97.95,97.22,97.31,178463.0
2024-05-13,97.36,97.59,97.18,97.29,149262.0
2024-05-14,97.18,97.55,96.9,97.27,220230.0
2024-05-15,97.47,98.33,97.46,98.24,258874.0
2024-05-16,98.3,98.42,98.0,98.29,205329.0
2024-05-17,98.07,98.12,97.55,97.63,155555.0
2024-05-20,97.54,97.67,97.17,97.24,171640.0
2024-05-21,97.2,97.66,97.2,97.48,253272.0
2024-05-22,96.59,96.81,96.5,96.66,287777.0
2024-05-23,96.73,96.98,96.25,96.36,291446.0
2024-05-24,96.49,96.58,96.1,96.4,174720.0
2024-05-28,96.61,96.81,96.16,96.28,155832.0
2024-05-29,95.89,95.9,94.82,95.11,71080.0
2024-05-30,95.08,95.5,95.05,95.3,263894.0
2024-05-31,95.43,95.95,95.09,95.83,272408.0
2024-06-03,95.9,96.73,95.77,96.56,224361.0
2024-06-04,96.61,97.36,96.58,97.09,260238.0
2024-06-05,96.94,97.25,96.79,97.11,228124.0
2024-06-06,97.13,97.35,96.96,97.21,189393.0
2024-06-07,97.04,97.3,96.28,96.37,182090.0
2024-06-10,96.19,96.21,95.63,95.73,187054.0
2024-06-11,96.0,96.35,95.84,96.24,263384.0
2024-06-12,96.46,97.73,96.35,97.51,258152.0
2024-06-13,97.47,97.74,97.11,97.4,231264.0
2024-06-14,97.87,98.54,97.71,98.37,285812.0
2024-06-17,98.23,98.36,97.71,97.83,215202.0
2024-06-18,97.84,98.39,97.75,98.21,248510.0
2024-06-19,98.36,98.41,97.91,98.02,128950.0
2024-06-20,97.93,98.49,97.82,98.2,205689.0
2024-06-21,98.45,98.72,97.88,98.03,218565.0
2024-06-24,98.02,98.26,97.88,97.99,167350.0
2024-06-25,98.17,98.42,97.94,98.14,217349.0
2024-06-26,97.99,98.04,97.43,97.47,247841.0
2024-06-27,97.44,97.7,97.13,97.5,214347.0
2024-06-28,97.54,97.74,97.04,97.07,272212.0
2024-07-01,96.91,96.93,96.08,96.18,258783.0
2024-07-02,96.39,96.73,96.23,96.41,263751.0
2024-07-03,96.47,97.28,96.47,97.2,211351.0
2024-07-04,97.03,97.08,96.82,96.84,96929.0
2024-07-05,97.06,97.61,97.02,97.51,171577.0
2024-07-08,97.29,97.77,97.23,97.68,179929.0
2024-07-09,97.56,97.61,97.14,97.18,253106.0
2024-07-10,97.5,97.88,97.42,97.47,231102.0
2024-07-11,97.43,98.03,97.13,98.01,287339.0
2024-07-12,97.75,97.81,97.31,97.66,229380.0
2024-07-15,97.61,97.85,97.51,97.78,182751.0
2024-07-16,97.84,98.29,97.84,98.02,271821.0
2024-07-17,98.05,98.16,97.81,97.97,187522.0
2024-07-18,98.07,98.43,97.94,98.31,162746.0
2024-07-19,98.15,98.32,97.48,97.6,179004.0
2024-07-22,97.72,97.73,97.09,97.44,206720.0
2024-07-23,97.24,97.56,97.11,97.42,189312.0
2024-07-24,97.61,97.68,97.13,97.32,264265.0
2024-07-25,97.25,97.79,97.17,97.48,256246.0
2024-07-26,97.24,97.96,96.96,97.73,221361.0
2024-07-29,97.87,98.43,97.84,98.19,224416.0
2024-07-30,98.14,98.44,97.94,98.24,213158.0
2024-07-31,98.41,98.92,98.35,98.71,293539.0
2024-08-01,99.07,99.91,98.98,99.78,333072.0
2024-08-02,100.01,100.51,99.73,100.04,332630.0
2024-08-05,100.5,100.94,99.58,99.95,326944.0
2024-08-06,99.32,99.92,99.25,99.45,302392.0
2024-08-07,99.3,99.36,98.81,98.98,209544.0
2024-08-08,99.29,99.37,98.69,98.93,200389.0
2024-08-09,98.92,99.31,98.85,99.19,134087.0
2024-08-12,98.92,99.4,98.88,99.21,146314.0
2024-08-13,99.31,99.73,99.18,99.72,201296.0
2024-08-14,99.87,100.29,99.71,100.25,185961.0
2024-08-15,100.14,100.14,99.23,99.32,181574.0
2024-08-16,99.53,99.68,99.16,99.34,162792.0
2024-08-19,99.51,99.61,99.14,99.18,148234.0
2024-08-20,99.3,99.48,99.12,99.43,144797.0
2024-08-21,99.46,99.68,99.18,99.53,190904.0
2024-08-22,99.54,99.8,98.92,98.97,202475.0
2024-08-23,99.08,99.5,98.93,99.43,237080.0
2024-08-27,99.16,99.19,98.67,98.85,235878.0
2024-08-28,98.93,99.16,98.77,98.81,50028.0
2024-08-29,98.76,99.13,98.54,98.59,187537.0
2024-08-30,98.66,99.16,98.53,98.8,236484.0
2024-09-02,98.43,98.46,98.21,98.28,132574.0
2024-09-03,98.43,99.35,98.31,99.01,299788.0
2024-09-04,99.27,99.63,99.12,99.56,209882.0
2024-09-05,99.68,99.94,99.51,99.66,210947.0
2024-09-06,100.02,100.71,99.5,100.07,299398.0
2024-09-09,99.63,100.3,99.39,100.22,208964.0
2024-09-10,100.07,100.75,99.93,100.54,205492.0
2024-09-11,101.0,101.52,100.81,101.45,313655.0
2024-09-12,101.22,101.62,100.95,101.06,222731.0
2024-09-13,101.32,101.45,101.07,101.17,177846.0
2024-09-16,101.35,101.41,101.11,101.33,171505.0
2024-09-17,101.44,101.65,101.03,101.15,225943.0
